time,lat,long,mag,nst,net,id
7080,38.805000305176,-122.77683258057,1.08,25,nc,nc75195531
7070,38.839168548584,-122.79949951172,1.02,15,nc,nc75195526
7060,38.757667541504,-122.71783447266,1.35,11,nc,nc75195521
7050,38.821998596191,-122.84583282471,1.03,18,nc,nc75195516
7040,-35.7217,-18.7134,5,40,us,us6000qk9m
7030,32.4948333,-115.4008333,1.54,22,ci,ci40993975
7020,38.827499389648,-122.80516815185,1.02,13,nc,nc75195496
7010,31.966,-103.377,2,15,tx,tx2025lpuact
7000,31.956,-103.37,1.9,12,tx,tx2025lpuahd
6990,19.2017,121.17,4.8,71,us,us6000qk9j
6980,31.658,-104.339,1.5,31,tx,tx2025lptsxg
6970,31.953,-103.37,2.4,38,tx,tx2025lptjzp
6960,32.5341667,-115.2366667,1.72,22,ci,ci40993943
6950,28.615,-99.125,2.7,19,tx,tx2025lpsmkm
6940,62.8272,-149.7471,1.2,,ak,ak0257l0p10w
6930,34.3646667,-119.1678333,1.62,45,ci,ci40993927
6920,38.787666320801,-122.77033233643,1.1,16,nc,nc75195481
6910,60.6696,-152.2861,1.3,,ak,ak0257l0kx13
6900,52.0225,178.31416666667,1.89,8,av,av93637721
6890,-36.5778,-110.627,4.9,76,us,us6000qk9a
6880,44.324333333333,-114.99383333333,1.14,5,mb,mb90095973
6870,60.0614,-151.3584,1.8,,ak,ak0257l04wxt
6860,38.765335083008,-122.73149871826,1.6,26,nc,nc75195471
6850,31.673,-104.184,1.6,27,tx,tx2025lpqjnq
6840,59.9065,-153.0944,2.5,,ak,ak0257kzzq1z
6830,32.869,-100.949,2.2,31,tx,tx2025lpptzt
6820,32.866,-100.947,2.1,21,tx,tx2025lppufh
6810,31.672,-104.188,2.1,42,tx,tx2025lpposa
6800,31.677,-104.201,1.7,32,tx,tx2025lppdsl
6790,35.945,-91.294166666667,1.83,7,nm,nm60503683
6780,32.5313333,-115.2431667,1.8,27,ci,ci40993911
6770,32.222,-115.2875,2.51,26,ci,ci40993903
6760,63.8835,-149.0155,1.4,,ak,ak0257kzjleh
6750,38.83466720581,-122.81683349609,1.58,27,nc,nc75195461
6740,60.3603,-142.4495,1,,ak,ak0257kzj7p2
6730,-36.5676,-110.604,5.6,45,us,us6000qk90
6720,34.914,-119.3605,1.1,20,ci,ci40993895
6710,38.823665618896,-122.81233215332,1.53,31,nc,nc75195456
6700,31.666,-104.195,1.8,38,tx,tx2025lpoans
6690,60.6259,-141.2139,1.6,,ak,ak0257kzex3e
6680,19.4382,-69.1087,4.3,78,us,us6000qk8s
6670,31.666,-104.201,2,35,tx,tx2025lpnqas
6660,31.672,-104.181,1.7,21,tx,tx2025lpnlkc
6650,31.665,-104.186,1.6,23,tx,tx2025lpnkit
6640,32.089,-103.74,2.5,14,tx,tx2025lpnjxn
6630,31.674,-104.192,2,39,tx,tx2025lpnhcp
6620,45.815833333333,-113.5285,1.48,22,mb,mb90095963
6610,31.669,-104.187,2,40,tx,tx2025lpnaqw
6600,35.07,-119.1333333,1.38,31,ci,ci40993879
6590,31.667,-104.19,105,44,tx,tx2025lpmzde
6580,31.658,-104.192,1.6,26,tx,tx2025lpmsmr
6570,38.820667266846,-122.81300354004,1.09,23,nc,nc75195441
6560,38.816165924072,-122.76233673096,1.03,12,nc,nc75195436
6550,31.666,-104.199,1.7,40,tx,tx2025lpmnzm
6540,31.668,-104.193,1.4,28,tx,tx2025lpmdlp
6530,31.666,-104.184,1.8,28,tx,tx2025lpmalf
6520,31.678,-104.195,1.8,34,tx,tx2025lpmazg
6510,35.9555,-91.307,2.22,17,nm,nm60503678
6500,62.5407,-151.2452,1.9,,ak,ak0257kyrlfi
6490,31.669,-104.194,1.5,30,tx,tx2025lplned
6480,31.667,-104.193,1.6,16,tx,tx2025lplmuf
6470,19.272166666667,-66.018,3.24,11,pr,pr71485748
6460,31.669,-104.191,1.7,33,tx,tx2025lplbmb
6450,-47.8628,116.0457,4.8,20,us,us6000qk86
6440,31.672,-104.201,2.4,42,tx,tx2025lpkrmp
6430,31.67,-104.195,2.3,38,tx,tx2025lpkpzl
6420,31.666,-104.196,1.7,25,tx,tx2025lpkqjw
6410,38.817501068115,-122.80950164795,1.05,20,nc,nc75195411
6400,31.676,-104.18,1.7,36,tx,tx2025lpkmky
6390,31.668,-104.172,1.7,17,tx,tx2025lpkljr
6380,31.673,-104.191,3.5,40,tx,tx2025lpkjpj
6370,31.675,-104.192,3.5,43,tx,tx2025lpkgmj
6360,31.673,-104.194,3.3,40,tx,tx2025lpjvig
6350,30.6291,141.5771,4.6,44,us,us6000qk7w
6340,36.1093333,-117.8885,1.13,20,ci,ci40993799
6330,38.830333709717,-122.81549835205,-222.2,20,nc,nc75195401
6320,46.828833333333,-112.373,1.25,12,mb,mb90095998
6310,31.521,-104.016,1.5,33,tx,tx2025lpjkbw
6300,34.2675,-118.4586667,0.97,25,ci,ci40993791
6290,31.672,-104.201,1.9,39,tx,tx2025lpiwjo
6280,37.5393,-118.0279,1,10,nn,nn00898915
6270,38.824165344238,-122.81316375732,2.11,47,nc,nc75195386
6260,31.671,-104.191,3,25,tx,tx2025lpiqop
6250,31.642,-104.423,2.1,37,tx,tx2025lpinzj
6240,35.8668333,-117.6478333,1.15,26,ci,ci40993767
6230,-1.2671,-80.9019,4.6,42,us,us6000qk7i
6220,63.7067,-152.3312,1.6,,ak,ak0257kxk055
6210,-36.4398,-110.8169,5.7,58,us,us6000qk7h
6200,62.6168,-151.3334,1.5,,ak,ak0257kxiprx
6190,33.9728333,-116.6613333,1.39,68,ci,ci40993759
6180,63.2338,-144.7697,1,,ak,ak0257kxh7ms
6170,68.7204,-147.6203,1.8,,ak,ak0257kx7w4c
6160,62.2334,-151.1555,1.4,,ak,ak0257kx2ifl
6150,68.7254,-147.6111,1.5,,ak,ak0257kx2fzr
6140,44.339666666667,-115.02883333333,1.5,13,mb,mb90095938
6130,64.4561,-149.2923,1.3,,ak,ak0257kwmdo6
6120,40.2765,-124.361,2.02,48,nc,nc75195356
6110,31.651,-104.413,1.9,31,tx,tx2025lpdraj
6100,60.6727,-149.9404,2.1,,ak,ak0257kwc3rw
6090,19.336333333333,-155.1935,1.97,47,hv,hv74697472
6080,38.82500076294,-122.76667022705,1.79,37,nc,nc75195346
6070,19.338666666667,-155.195,2.92,60,hv,hv74697462
6060,66.4194,-148.5379,1.7,,ak,ak0257kvv4mz
6050,19.3958,-63.4803,3,16,us,us6000qk6p
6040,34.9126667,-119.1406667,1.97,5,ci,ci40993655
6030,38.841,-122.94066666667,0.98,30,nc,nc75195331
6020,48.808833333333,-119.52,1.23,5,uw,uw62128131
6010,48.566166666667,-122.2,1.25,7,uw,uw62128126
6000,32.907,-116.954,1.27,41,ci,ci40993639
5990,-17.8959,168.5066,5,65,us,us6000qk6i
5980,48.580333333333,-123.53583333333,1.17,9,uw,uw62128101
5970,34.1495,-118.3625,1.48,27,ci,ci40993615
5960,36.575333333333,-89.604,2.18,33,nm,nm60608086
5950,60.009,-139.5945,1.4,,ak,ak0257jlgtl4
5940,39.1545,-123.03466666667,1.42,29,nc,nc75195311
5930,32.021,-101.727,1,17,tx,tx2025loxefz
5920,47.5815,-123.78466666667,1.27,7,uw,uw62128066
5910,38.810501098633,-122.82050323486,1.07,15,nc,nc75195281
5900,38.787998199463,-988.1,1.2,20,nc,nc75195266
5890,38.818332672119,-122.82083129883,1.04,21,nc,nc75195256
5880,62.8647,-150.7355,1.9,,ak,ak0257jkatca
5870,53.851833333333,-166.47083333333,1.84,11,av,av93637211
5860,44.758,-111.11833333333,1.04,9,uu,uu80110286
5850,35.3325,-117.8141667,1.24,29,ci,ci40993487
5840,60.1166,-153.4203,4.2,,ak,ak0257jjjt29
5830,64.0677,-148.8295,3.1,,ak,ak0257jjjpjt
5820,36.997666666667,-119.80866666667,1.76,7,nc,nc75195231
5810,33.8603333,-117.5156667,1.01,37,ci,ci40993423
5800,35.7023333,-117.5981667,1.02,27,ci,ci40993415
5790,32.504,-101.589,1.1,6,tx,tx2025loqwlt
5780,37.40950012207,-121.70783233643,1.13,5,nc,nc75195226
5770,48.0895,-121.944,2,7,uw,uw62127991
5760,46.1137,153.4433,6,231,us,us6000qk4v
5750,40.572333333333,-122.41716666667,2,23,nc,nc75195206
5740,46.011666666667,-112.45516666667,1.65,11,mb,mb90095823
5730,36.850666046143,-121.58750152588,1.58,11,nc,nc75195201
5720,36.238998413086,-120.81566619873,2.3,43,nc,nc75195196
5710,60.2562,-150.5983,2.5,,ak,ak0257jij7au
5700,60.5625,-151.065,1.2,,ak,ak0257jiiyiq
5690,35.903,-117.7455,1.84,34,ci,ci40993375
5680,17.8295,-66.852166666667,2.18,5,pr,pr71485738
5670,63.6985,-149.2441,1.4,,ak,ak0257jiflv6
5660,17.896,-66.871166666667,1.72,5,pr,pr71485733
5650,17.936333333333,-66.941666666667,2.12,7,pr,pr71485723
5640,35.9028333,-117.7465,1.59,31,ci,ci40993359
5630,63.0667,-150.7564,2.9,,ak,ak0257jibn6h
5620,47.955333333333,-122.40916666667,1.75,31,uw,uw62127936
5610,35.9055,-117.7478333,0.99,23,ci,ci40993335
5600,60.2541,-140.6885,1.8,,ak,ak0257ji0a86
5590,35.9033333,-117.7443333,1.26,28,ci,ci40993311
5580,38.823501586914,-122.80850219727,1.05,19,nc,nc75195176
5570,32.128,-102.208,1.8,10,tx,tx2025lomhgn
5560,38.822498321533,-122.81150054932,1.05,22,nc,nc75195171
5550,44.7605,-111.11833333333,1.48,15,uu,uu80110276
5540,33.16,-102.235,1.7,6,tx,tx2025lollpp
5530,57.848,-156.5185,2.6,,ak,ak0257jhaf48
5520,-20.5831,-70.253,2.5,10,us,us6000qk8i
5510,63.2334,-150.7631,1.3,,ak,ak0257jh5hv5
5500,56.9472,-155.2719,1.8,,ak,ak0257jgqb0v
5490,61.9382,-148.9418,2.6,,ak,ak0257jgpgjq
5480,57.8416,-156.4864,2.2,,ak,ak0257jgp6r8
5470,39.3,-110.8175,1.26,8,uu,uu80110271
5460,38.994833333333,-111.41066666667,1.23,7,uu,uu80110266
5450,61.0318,-150.561,1.2,,ak,ak0257jgmf1d
5440,17.845166666667,-66.863666666667,2.33,13,pr,pr71485708
5430,-21.7049,-176.0328,4.7,28,us,us6000qk2x
5420,38.1584,-117.8794,1.6,14,nn,nn00898887
5410,44.3555,-115.0305,1.14,11,mb,mb90095783
5400,68.7132,-147.693,2.6,,ak,ak0257jg1upi
5390,68.7239,-147.6101,1.3,,ak,ak0257jg0snw
5380,28.641,-99.123,1.9,12,tx,tx2025lofyfq
5370,47.4864,-70.4347,1.6,10,us,us6000qk78
5360,19.166166305542,-155.48832702637,2.12,54,hv,hv74696892
5350,38.834999084473,-122.78450012207,1.5,28,nc,nc75195116
5340,18.0255,-66.896,2.23,6,pr,pr71485703
5330,37.664666666667,-119.41783333333,2.15,34,nc,nc75195111
5320,32.093,-101.481,1.4,35,tx,tx2025loeckq
5310,62.287,-150.893,2.6,,ak,ak0257jfewgl
5300,33.7906667,-116.9516667,1.46,73,ci,ci40993079
5290,54.6528,161.3854,4.1,23,us,us6000qk2i
5280,40.0369,-104.9561,2.9,21,us,us6000qk2g
5270,39.298,-110.81566666667,1.73,17,uu,uu80110256
5260,60.2897,-150.8366,1.2,,ak,ak0257jf1ebj
5250,35.6751667,-117.563,0.97,27,ci,ci40993071
5240,38.821666717529,-122.8433303833,1.09,21,nc,nc75195101
5230,19.128833770752,-155.49800109863,1.93,54,hv,hv74696837
5220,35.3255,-117.8063333,1.16,31,ci,ci40993055
5210,37.403499603271,-121.74666595459,1.44,9,nc,nc75195086
5200,-5.9799,149.5326,5,97,us,us6000qk2b
5190,31.655,-104.446,2.1,25,tx,tx2025loazgo
5180,34.0366667,-117.2428333,1.02,29,ci,ci40993039
5170,31.677,-104.399,2.1,23,tx,tx2025loawpz
5160,38.336166666667,-119.383,2.63,45,nc,nc75195076
5150,35.3195,-117.8125,1.1,25,ci,ci40993031
5140,37.489666666667,-118.83866666667,1.1,24,nc,nc75195071
5130,47.9225,-121.64116666667,1.7,22,uw,uw62127826
5120,19.443166666667,-154.8955,1.25,20,hv,hv74696767
